DATE,MSINI,ECC
1988,1.51728,0.12
1989,11.6351,0.3354
1993,2.75822,0.02
1995,0.461143,0.013
1996,2.54589,0.032
1996,7.46144,0.4007
1997,0.801471,0.004
1997,0.669277,0.013
1997,4.13,0.023
1997,1.06409,0.057
1997,1.63997,0.681
1998,0.510056,0.010274
1998,1.9469,0.0324
1999,3.57989,0.0138
1999,1.40112,0.126686
1999,1.91855,0.223848
1999,4.11582,0.267395
1999,1.27275,0.476
1999,7.69745,0.52883
2000,0.68851,0
2000,1.04309,0.011
2000,0.429903,0.019
2000,0.46004,0.034
2000,4.00104,0.0416
2000,0.674371,0.054
2000,0.639382,0.055
2000,0.227201,0.063
2000,1.31967,0.096
2000,6.23505,0.099
2000,0.804926,0.12
2000,2.04683,0.14
2000,1.56347,0.233
2000,1.05448,0.25
2000,0.249652,0.252
2000,1.9422,0.252086
2000,1.07139,0.325
2000,8.18778,0.673
2000,7.63003,0.725
2001,0.902075,0.022
2001,5.79721,0.05
2001,1.37669,0.06
2001,1.74552,0.128
2001,17.3857,0.2113
2001,0.803263,0.243663
2001,0.612168,0.25591
2001,2.88946,0.31
2001,3.56392,0.334
2001,2.3408,0.376834
2001,4.53249,0.421
2001,3.3748,0.511
2001,3.89024,0.934
2002,0.395855,0.013
2002,3.54451,0.02
2002,0.807457,0.052
2002,0.164558,0.07
2002,0.545774,0.098
2002,2.4433,0.102
2002,0.245103,0.107
2002,7.29127,0.114
2002,1.79992,0.1249
2002,1.10505,0.144
2002,2.8434,0.228
2002,1.3057,0.26
2002,15.2138,0.277
2002,2.16817,0.319
2002,11.6809,0.338
2002,9.4752,0.41
2002,16.8244,0.435
2002,4.39876,0.444
2002,9.26951,0.4805
2002,6.95913,0.482
2002,2.08215,0.519
2002,0.257999,0.53
2002,10.088,0.6405
2002,9.31534,0.7124
2003,1.35447,0
2003,1.86902,0.029
2003,1.9487,0.031256
2003,1.90944,0.034
2003,1.2147,0.07
2003,0.101571,0.087
2003,4.9174,0.09
2003,0.232142,0.095
2003,0.648109,0.125
2003,1.2902,0.1276
2003,0.944758,0.167
2003,2.8556,0.19
2003,9.68782,0.193
2003,3.1741,0.22
2003,4.02224,0.252
2003,7.74272,0.266
2003,1.80603,0.297
2003,1.53512,0.313105
2003,1.4572,0.345
2003,12.2603,0.355094
2003,5.21486,0.369
2003,5.94193,0.531
2003,0.228975,0.596
2003,5.92499,0.715
2004,0.752484,0
2004,1.25508,0
2004,0.026192,0
2004,0.548406,0
2004,0.623724,0
2004,1.16945,0
2004,1.2223,0.03
2004,1.88907,0.0985
2004,0.072551,0.16
2004,0.397195,0.17
2004,0.034587,0.172
2004,6.84182,0.2
2004,1.58935,0.203
2004,1.3637,0.23
2004,1.17965,0.26
2004,1.32681,0.266
2004,4.06407,0.33
2004,0.646927,0.37
2004,8.24664,0.38
2004,1.21636,0.41
2004,1.58936,0.425
2004,2.24797,0.46
2004,1.66194,0.5
2004,1.77342,0.63
2004,2.80174,0.6767
2005,0.626643,0
2005,0.359837,0
2005,0.384566,0
2005,0.477325,0
2005,1.14039,0
2005,0.049902,0.031
2005,0.617925,0.049
2005,0.299187,0.11
2005,0.169756,0.121
2005,0.296108,0.133
2005,1.46957,0.137
2005,0.368176,0.14
2005,1.8189,0.144
2005,0.68665,0.16
2005,0.018419,0.207
2005,3.24848,0.23
2005,0.058974,0.23747
2005,0.5122,0.24
2005,1.74473,0.253675
2005,0.106179,0.254
2005,2.33098,0.267
2005,7.12332,0.27
2005,1.02837,0.273039
2005,9.12785,0.34
2005,3.57445,0.35672
2005,7.40012,0.4
2005,0.176652,0.42
2005,2.61546,0.517222
2005,1.83614,0.778
2006,0.047738,0
2006,0,0
2006,0.39615,0
2006,0.918265,0
2006,0.27467,0
2006,1.19316,0
2006,0.452799,0
2006,1.49595,0.008
2006,1.32811,0.016
2006,0.830886,0.04
2006,0.608106,0.041
2006,0.357927,0.05
2006,0.212171,0.05
2006,0.714594,0.05
2006,0.056337,0.07
2006,0.504198,0.09
2006,0.031649,0.1
2006,0.036771,0.13
2006,2.4209,0.14
2006,3.87441,0.142483
2006,0.925037,0.16
2006,0.954212,0.295952
2006,2.13623,0.309
2006,2.74962,0.465
2006,0.803694,0.47
2006,0.330171,0.48
2006,6.87654,0.526
2006,4.46762,0.53
2006,1.9,0.97
2007,0.062219,0
2007,0.671507,0
2007,0.531143,0
2007,0.904818,0
2007,1.87299,0
2007,1.05391,0
2007,0.566437,0
2007,0.913019,0
2007,0.827536,0
2007,0.595021,0
2007,2.20004,0.01
2007,1.76545,0.02
2007,1.86459,0.036
2007,4.02189,0.04
2007,0.956901,0.044
2007,2.57917,0.06
2007,0.543322,0.0666
2007,0.016776,0.07
2007,3.11535,0.08
2007,1.08667,0.1
2007,2.51504,0.1
2007,0.668676,0.11
2007,1.26045,0.11
2007,2.29191,0.129
2007,2.49717,0.14
2007,7.67663,0.151
2007,1.27518,0.153155
2007,0.807031,0.16
2007,4.96206,0.166
2007,0.819484,0.17
2007,1.90296,0.18
2007,9.88561,0.19
2007,0.034879,0.2
2007,6.63106,0.21
2007,4.7347,0.3
2007,0.077069,0.301733
2007,0.52763,0.33
2007,5.60495,0.34
2007,1.16502,0.36
2007,7.13242,0.432
2007,1.40487,0.44
2007,3.06805,0.45899
2007,8.85612,0.5171
2007,1.98809,0.59
2007,3.30035,0.6819
2008,4.68383,0
2008,21.799,0
2008,1.77867,0
2008,0.717419,0
2008,1.77912,0
2008,1.05632,0
2008,2.6907,0
2008,2.00437,0
2008,1.62047,0
2008,1.22306,0
2008,1.60219,0
2008,0.753425,0
2008,1.02603,0
2008,1.02162,0
2008,1.15082,0
2008,3.27343,0.0143
2008,2.46312,0.02
2008,4.10898,0.05
2008,2.20888,0.059
2008,10.298,0.08
2008,1.63682,0.089
2008,1.9747,0.125
2008,4.31096,0.206
2008,16.1284,0.231
2008,1.48708,0.27
2008,1.0348,0.28
2008,13.0547,0.2884
2008,0.172877,0.32
2008,0.468448,0.38
2008,2.9439,0.48
2008,4.0077,0.6
2008,11.0076,0.8472
2008,1.64829,0.903
2009,0.021147,0
2009,0.839364,0
2009,4.50213,0
2009,0.013786,0
2009,0.472376,0
2009,0.020351,0
2009,0.539752,0
2009,0.025997,0
2009,0.028076,0
2009,0.775153,0
2009,0.012907,0
2009,1.29241,0
2009,0.541448,0
2009,0.919256,0
2009,0.210772,0
2009,10.0636,0.00848
2009,3.34549,0.01
2009,0.8514,0.0133
2009,0.071203,0.038
2009,1.34899,0.049
2009,3.19034,0.050714
2009,0.521174,0.054
2009,0.027365,0.058
2009,13.2921,0.067
2009,1.06828,0.074
2009,0.684002,0.08
2009,11.0873,0.08
2009,1.47557,0.08
2009,0.461312,0.09
2009,7.65457,0.091
2009,0.658513,0.0974
2009,10.0754,0.1
2009,0.083777,0.115
2009,11.8883,0.15
2009,7.28868,0.15
2009,1.14357,0.16
2009,0.5806,0.165251
2009,0.187149,0.1684
2009,6.90191,0.18
2009,3.42269,0.193
2009,1.79148,0.2
2009,0.06696,0.2
2009,2.71808,0.21
2009,3.47646,0.23873
2009,0.348285,0.249
2009,3.06257,0.256
2009,0.640416,0.28
2009,9.87792,0.289
2009,1.51929,0.29
2009,5.78201,0.307
2009,0.006135,0.32
2009,2.74209,0.34
2009,3.73203,0.38
2009,0.023733,0.396
2009,0.535482,0.48
2009,1.75571,0.53
2009,5.12319,0.54
2009,4.65551,0.637
2009,18.3282,0.638
2009,14.2696,0.6616
2009,6.62738,0.7
2009,0.68457,0.71
2009,2.00901,0.75
2009,1.33254,0.76
2010,0.310432,0
2010,0.300201,0
2010,2.95325,0
2010,0.507667,0
2010,0.436942,0
2010,1.08429,0
2010,1.28426,0
2010,0.668332,0
2010,2.33146,0
2010,10.0105,0
2010,0.077227,0
2010,0.341143,0
2010,1.3102,0
2010,1.00876,0
2010,0.582607,0
2010,2.11222,0
2010,0.248704,0
2010,3.441,0
2010,0.215994,0
2010,1.11405,0.0046
2010,1.88123,0.02
2010,0.559004,0.023
